Sample name	Number of reads	Total length	Min read length	Max read length	N50	N75	AuN	Raw  num reads	% filtered
qc-host-removal/1068841_20180306_S_Run2barcode08.unmapped.fastq	"173,611"	"497,549,298"	"1,000"	"14,537"	"2,946"	"3,599"	"3,122"	"188,485"	92.10865586
qc-host-removal/1112926_20171212_S_Run7barcode08.unmapped.fastq	"39,486"	"201,266,351"	"1,000"	"17,778"	"5,453"	"6,489"	"5,516"	"44,116"	89.50494152
qc-host-removal/1128691_20171218_S_Run5barcode06.unmapped.fastq	"1,352"	"5,214,671"	"1,064"	"11,073"	"4,179"	"4,999"	"4,226"	"8,555"	15.80362361
qc-host-removal/1128691_20180116_S_Run9barcode09.unmapped.fastq	"9,510"	"47,641,909"	"1,005"	"16,752"	"5,318"	"6,439"	"5,488"	"72,422"	13.13136892
qc-host-removal/1255498_20171212_S_Run7barcode07.unmapped.fastq	"263,406"	"1,132,386,811"	"1,000"	"18,147"	"4,556"	"5,360"	"4,641"	"305,443"	86.23736671
qc-host-removal/1282052_20180206_S_Run3barcode05.unmapped.fastq	"331,580"	"1,220,829,077"	"1,000"	"15,495"	"3,854"	"4,550"	"3,959"	"368,238"	90.04502523
qc-host-removal/1316935_20180417_S_Run2barcode12.unmapped.fastq	"102,827"	"347,550,632"	"1,000"	"12,572"	"3,506"	"4,189"	"3,648"	"140,025"	73.4347438
qc-host-removal/1316979_20171215_S_Run5barcode02.unmapped.fastq	"173,934"	"486,600,269"	"1,000"	"10,883"	"2,914"	"3,503"	"3,018"	"200,683"	86.67101847
qc-host-removal/1447437_20171006_S_Run6barcode07.unmapped.fastq	"427,025"	"1,392,218,246"	"1,000"	"40,495"	"3,425"	"4,106"	"3,552"	"469,348"	90.98259713
qc-host-removal/1470026_20180502_S_Run1Barcode06.unmapped.fastq	"146,282"	"629,421,346"	"1,000"	"47,526"	"4,528"	"5,313"	"4,646"	"167,446"	87.36070136
qc-host-removal/1565754_20171128_S_Run5barcode09.unmapped.fastq	"11,561"	"44,427,122"	"1,004"	"11,936"	"3,891"	"4,987"	"4,157"	"13,085"	88.35307604
qc-host-removal/1565754_20180403_S_Run10barcode09.unmapped.fastq	"17,069"	"84,478,618"	"1,073"	"13,000"	"5,133"	"6,067"	"5,248"	"29,729"	57.41531838
qc-host-removal/1586713_20180309_S_Run2barcode09.unmapped.fastq	"203,334"	"524,543,837"	"1,000"	"14,422"	"2,640"	"3,286"	"2,845"	"222,294"	91.47075495
qc-host-removal/1593967_20180424_S_Run3barcode02.unmapped.fastq	"119,895"	"612,008,222"	"1,014"	"18,649"	"5,418"	"6,221"	"5,415"	"137,997"	86.88232353
