"","x"
"1","contig_1000"
"2","contig_10000"
"3","contig_10002"
"4","contig_10006"
"5","contig_10007"
"6","contig_10009"
"7","contig_10010"
"8","contig_10013"
"9","contig_10017"
"10","contig_10020"
"11","contig_10024"
"12","contig_10030"
"13","contig_10033"
"14","contig_10034"
"15","contig_10037"
"16","contig_10038"
"17","contig_10041"
"18","contig_10043"
"19","contig_10045"
"20","contig_10047"
"21","contig_10053"
"22","contig_10054"
"23","contig_10056"
"24","contig_10061"
"25","contig_10065"
"26","contig_10076"
"27","contig_10082"
"28","contig_10087"
"29","contig_10088"
"30","contig_10090"
"31","contig_10092"
"32","contig_10094"
"33","contig_10099"
"34","contig_101"
"35","contig_10100"
"36","contig_10104"
"37","contig_10107"
"38","contig_10108"
"39","contig_10114"
"40","contig_10120"
"41","contig_10123"
"42","contig_10132"
"43","contig_10136"
"44","contig_10137"
"45","contig_10145"
"46","contig_10147"
"47","contig_10151"
"48","contig_10153"
"49","contig_10156"
"50","contig_10158"
"51","contig_10159"
"52","contig_10166"
"53","contig_10167"
"54","contig_10170"
"55","contig_10171"
"56","contig_10172"
"57","contig_10182"
"58","contig_10188"
"59","contig_10194"
"60","contig_10200"
"61","contig_10202"
"62","contig_10204"
"63","contig_10213"
"64","contig_10216"
"65","contig_1022"
"66","contig_10221"
"67","contig_10227"
"68","contig_1023"
"69","contig_10231"
"70","contig_10237"
"71","contig_1024"
"72","contig_10244"
"73","contig_10246"
"74","contig_10247"
"75","contig_10254"
"76","contig_10256"
"77","contig_10258"
"78","contig_10261"
"79","contig_10262"
"80","contig_10263"
"81","contig_10264"
"82","contig_10267"
"83","contig_10270"
"84","contig_10274"
"85","contig_10275"
"86","contig_10282"
"87","contig_10286"
"88","contig_10287"
"89","contig_10292"
"90","contig_10293"
"91","contig_10294"
"92","contig_10296"
"93","contig_10298"
"94","contig_10303"
"95","contig_10309"
"96","contig_10313"
"97","contig_10316"
"98","contig_10320"
"99","contig_10321"
"100","contig_10324"
"101","contig_10335"
"102","contig_10336"
"103","contig_1034"
"104","contig_10343"
"105","contig_1035"
"106","contig_10353"
"107","contig_10361"
"108","contig_10364"
"109","contig_10365"
"110","contig_10369"
"111","contig_1037"
"112","contig_10371"
"113","contig_10372"
"114","contig_10373"
"115","contig_10377"
"116","contig_10386"
"117","contig_10389"
"118","contig_10390"
"119","contig_10391"
"120","contig_10393"
"121","contig_10394"
"122","contig_10399"
"123","contig_104"
"124","contig_1040"
"125","contig_10414"
"126","contig_1042"
"127","contig_10425"
"128","contig_10428"
"129","contig_10433"
"130","contig_10435"
"131","contig_10437"
"132","contig_10438"
