"","x"
"1","contig_1001"
"2","contig_1002"
"3","contig_10035"
"4","contig_1004"
"5","contig_1005"
"6","contig_10075"
"7","contig_1010"
"8","contig_1011"
"9","contig_10240"
"10","contig_10242"
"11","contig_10327"
"12","contig_10345"
"13","contig_10375"
"14","contig_10446"
"15","contig_10526"
"16","contig_10534"
"17","contig_10535"
"18","contig_10537"
"19","contig_10547"
"20","contig_10549"
"21","contig_10553"
"22","contig_10752"
"23","contig_10755"
"24","contig_11005"
"25","contig_11007"
"26","contig_1102"
"27","contig_11047"
"28","contig_11225"
"29","contig_11328"
"30","contig_11412"
"31","contig_11413"
"32","contig_11415"
"33","contig_11416"
"34","contig_11417"
"35","contig_11418"
"36","contig_11583"
"37","contig_11626"
"38","contig_1168"
"39","contig_11861"
"40","contig_12074"
"41","contig_12103"
"42","contig_12106"
"43","contig_12107"
"44","contig_12374"
"45","contig_12816"
"46","contig_12882"
"47","contig_12967"
"48","contig_12969"
"49","contig_13164"
"50","contig_13171"
"51","contig_1330"
"52","contig_1331"
"53","contig_13328"
"54","contig_13391"
"55","contig_13409"
"56","contig_13427"
"57","contig_1348"
"58","contig_1349"
"59","contig_1371"
"60","contig_13743"
"61","contig_13863"
"62","contig_13994"
"63","contig_14072"
"64","contig_14103"
"65","contig_14127"
"66","contig_14257"
"67","contig_14260"
"68","contig_1428"
"69","contig_14453"
"70","contig_14512"
"71","contig_14759"
"72","contig_14780"
"73","contig_1485"
"74","contig_14914"
"75","contig_1495"
"76","contig_14966"
"77","contig_1497"
"78","contig_14983"
"79","contig_1506"
"80","contig_15250"
"81","contig_15264"
"82","contig_15316"
"83","contig_15361"
"84","contig_15362"
"85","contig_15521"
"86","contig_15523"
"87","contig_15691"
"88","contig_1614"
"89","contig_1615"
"90","contig_1616"
"91","contig_16218"
"92","contig_16320"
"93","contig_16341"
"94","contig_16342"
"95","contig_165"
"96","contig_1655"
"97","contig_16667"
"98","contig_16712"
"99","contig_169"
"100","contig_170"
"101","contig_1710"
"102","contig_1713"
"103","contig_17198"
"104","contig_17212"
"105","contig_17213"
"106","contig_17245"
"107","contig_17367"
"108","contig_17491"
"109","contig_17508"
"110","contig_17624"
"111","contig_17630"
"112","contig_17677"
"113","contig_17753"
"114","contig_17756"
"115","contig_1783"
"116","contig_1785"
"117","contig_17973"
"118","contig_18024"
"119","contig_1805"
"120","contig_181"
"121","contig_18100"
"122","contig_18146"
"123","contig_18158"
"124","contig_18209"
"125","contig_18227"
"126","contig_1830"
"127","contig_1845"
"128","contig_18450"
"129","contig_18642"
"130","contig_187"
"131","contig_18758"
"132","contig_189"
"133","contig_190"
"134","contig_1900"
"135","contig_1901"
"136","contig_19025"
"137","contig_19027"
"138","contig_191"
"139","contig_19167"
"140","contig_19229"
"141","contig_1937"
"142","contig_1942"
"143","contig_19436"
"144","contig_1949"
"145","contig_19496"
"146","contig_195"
"147","contig_19576"
"148","contig_19593"
"149","contig_19886"
"150","contig_2025"
"151","contig_20304"
"152","contig_20305"
"153","contig_20668"
"154","contig_209"
"155","contig_2092"
"156","contig_2096"
"157","contig_2099"
"158","contig_21026"
"159","contig_2106"
"160","contig_21067"
"161","contig_21104"
"162","contig_21143"
"163","contig_2119"
"164","contig_21195"
"165","contig_21196"
"166","contig_21222"
"167","contig_2134"
"168","contig_2147"
"169","contig_21502"
"170","contig_2154"
"171","contig_21559"
"172","contig_21592"
"173","contig_21652"
"174","contig_2184"
"175","contig_21871"
"176","contig_21893"
"177","contig_21960"
"178","contig_21998"
"179","contig_2208"
"180","contig_2222"
"181","contig_22342"
"182","contig_22372"
"183","contig_22527"
"184","contig_2261"
"185","contig_22627"
"186","contig_2265"
"187","contig_22651"
"188","contig_22668"
"189","contig_2268"
"190","contig_2269"
"191","contig_22711"
"192","contig_2272"
"193","contig_22754"
"194","contig_2284"
"195","contig_22966"
"196","contig_23054"
"197","contig_23069"
"198","contig_23123"
"199","contig_2318"
"200","contig_2320"
"201","contig_23370"
"202","contig_2353"
"203","contig_23858"
"204","contig_23867"
"205","contig_23874"
"206","contig_23878"
"207","contig_23918"
"208","contig_23930"
"209","contig_2395"
"210","contig_23961"
"211","contig_23974"
"212","contig_23975"
"213","contig_23989"
"214","contig_23992"
"215","contig_23994"
"216","contig_23995"
"217","contig_240"
"218","contig_2405"
"219","contig_24050"
"220","contig_24107"
"221","contig_24113"
"222","contig_24115"
"223","contig_24150"
"224","contig_24153"
"225","contig_24154"
"226","contig_24162"
"227","contig_24163"
"228","contig_24288"
"229","contig_24337"
"230","contig_24338"
"231","contig_24340"
"232","contig_24342"
"233","contig_24344"
"234","contig_24345"
"235","contig_24347"
"236","contig_24348"
"237","contig_24350"
"238","contig_24351"
"239","contig_24352"
"240","contig_24353"
"241","contig_24355"
"242","contig_24356"
"243","contig_24374"
"244","contig_24376"
"245","contig_24448"
"246","contig_24593"
"247","contig_24602"
"248","contig_24668"
"249","contig_24669"
"250","contig_24688"
