taxID,658355_20171204_S_Run6barcode11,658355_20180122_S_Run8barcode05,658355_20180321_S_Run1Barcode01,698917_20171207_S_Run7barcode10,698917_20180128_S_Run4barcode03,698917_20190119_S_Run7barcode05,788707_20171213_S_Run9barcode04,788707_20180301_S_Run2barcode07,788707_20180313_S_Run2barcode10,788707_20181116_S_Run8barcode08
0,34,1206,6,32,127,101,30,18,16,92
1,64617,162336,25474,15078,5937,7748,39657,30177,17015,62366
131567,522,6607,361,227,1216,3743,792,321,117,1900
2,58261,127460,53867,9803,3212,3354,31596,29387,16379,55885
1783272,574,4912,355,227,35,25,932,894,348,1662
1239,5807,18363,7085,1606,135,82,7488,6239,2657,7924
91061,4711,15884,3438,464,168,64,4750,3629,1709,5905
186826,8162,27063,5320,866,46,838,10554,7119,4319,10525
1300,988,2877,622,106,2,7,338,597,278,1208
1301,21663,83833,42878,2530,51,116,15221,23810,8741,39698
2608887,31,570,14,3,NA,NA,4,8,2,133
1579343,183,1183,99,27,NA,NA,1,181,128,386
1316408,97,1318,95,18,1,NA,5,12,NA,329
1316411,30,188,4,4,NA,1,195,256,71,312
563038,14,2,NA,NA,NA,NA,NA,NA,NA,1
1739461,14,13,NA,NA,NA,NA,NA,NA,NA,NA
1777878,13,83,3,NA,NA,NA,1,5,NA,22
469609,12,29,4,NA,NA,NA,3,4,2,10
1777879,11,136,5,1,NA,NA,12,10,NA,48
2866599,11,11,NA,NA,NA,NA,NA,NA,1,7
1759399,9,91,NA,NA,NA,NA,NA,NA,NA,5
1403937,9,66,4,NA,NA,NA,NA,NA,1,46
1316409,7,49,NA,3,NA,NA,7,21,6,33
2610896,7,82,11,NA,NA,NA,NA,2,NA,18
999425,6,12,NA,NA,NA,NA,NA,NA,NA,2
1739309,6,14,NA,NA,NA,NA,NA,NA,NA,2
1739422,5,26,2,1,NA,NA,2,1,NA,3
1739408,5,131,1,NA,NA,NA,NA,NA,NA,23
1715183,5,35,5,NA,NA,NA,NA,NA,NA,6
1739505,4,29,NA,2,NA,NA,NA,NA,NA,24
2942206,3,15,1,NA,NA,NA,NA,1,NA,2
904294,3,45,2,NA,NA,NA,1,2,NA,13
1316412,3,34,3,NA,NA,NA,6,17,4,15
1777881,3,42,2,1,NA,NA,NA,NA,1,2
1715165,2,25,1,NA,NA,NA,NA,NA,NA,4
563036,2,7,1,NA,NA,NA,NA,NA,NA,1
2785793,2,22,2,NA,NA,NA,NA,NA,1,6
2600147,2,57,NA,NA,NA,NA,NA,NA,NA,NA
2598457,2,5,NA,NA,NA,NA,2,1,NA,6
2583584,2,3,NA,NA,NA,NA,NA,NA,NA,NA
2293247,2,29,NA,NA,NA,NA,NA,1,NA,2
1715086,2,3,NA,NA,NA,NA,NA,NA,NA,3
1316410,2,19,1,NA,NA,NA,21,34,6,56
1739421,1,10,3,NA,NA,NA,NA,1,NA,NA
1715134,1,5,NA,NA,NA,NA,NA,NA,NA,3
2797637,1,11,1,NA,NA,NA,NA,NA,NA,1
2787122,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1581080,1,NA,NA,NA,NA,1,NA,NA,NA,2
2710601,1,34,6,NA,NA,NA,NA,2,NA,5
1739397,1,9,NA,NA,NA,NA,NA,NA,NA,1
435842,1,4,NA,NA,NA,NA,1,3,NA,1
1169675,1,3,NA,NA,NA,NA,NA,NA,NA,2
1203590,1,8,NA,NA,NA,NA,NA,NA,NA,1
1975706,1,7,NA,NA,NA,NA,NA,NA,NA,1
1902136,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
