taxID,taxon
0,unclassified
1,root
131567,root
2,cellular organisms
1783272,Bacteria
1239,Bacteria>Terrabacteria
91061,Bacteria>Bacillota
186826,Bacteria>Bacillota>Bacilli
1300,Bacteria>Bacillota>Bacilli>Lactobacillales
1301,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae
2608887,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus
1579343,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1316408,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1316411,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
563038,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1739461,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1777878,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
469609,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1777879,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
2866599,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1759399,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1403937,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1316409,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
2610896,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
999425,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1739309,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1739422,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1739408,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1715183,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1739505,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
2942206,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
904294,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus>Streptococcus sp. oral taxon 056
1316412,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1777881,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1715165,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
563036,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
2785793,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
2600147,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
2598457,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
2583584,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
2293247,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1715086,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1316410,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1739421,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1715134,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
2797637,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
2787122,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1581080,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
2710601,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1739397,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
435842,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1169675,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1203590,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1975706,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1902136,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1776578,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1777880,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1095727,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified Streptococcus
1318,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus
1095733,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus parasanguinis
905067,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus parasanguinis
888048,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus parasanguinis
760570,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus parasanguinis
1035185,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus parasanguinis
1114965,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus parasanguinis
28037,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus
1095737,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus mitis
1239792,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus mitis
585204,Bacteria>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus mitis
