contig,length
contig_100,61832
contig_1000,3234
contig_10000,2093
contig_10001,3436
contig_10002,42007
contig_10004,3925
contig_10005,6777
contig_10006,2607
contig_10007,24249
contig_10008,4395
contig_10009,5777
contig_1001,12427
contig_10010,5647
contig_10011,5389
contig_10012,4765
contig_10013,8510
contig_10014,568
contig_10015,8325
contig_10016,4664
contig_10017,21851
contig_10018,15750
contig_10019,4418
contig_1002,13908
contig_10020,26365
contig_10021,3004
contig_10022,6610
contig_10023,6638
contig_10024,2515
contig_10025,2963
contig_10026,2782
contig_10027,23455
contig_10028,1915
contig_10029,714
contig_10030,2497
contig_10031,7087
contig_10032,2032
contig_10033,2502
contig_10034,2571
contig_10035,2622
contig_10036,7494
contig_10037,4220
contig_10038,10264
contig_10039,5859
contig_1004,36369
contig_10040,4337
contig_10041,19137
contig_10042,2498
contig_10043,5342
contig_10044,10527
contig_10045,4397
contig_10046,3182
contig_10047,2652
contig_10048,129708
contig_10049,2776
contig_1005,29221
contig_10050,3246
contig_10051,2873
contig_10052,8220
contig_10053,17408
contig_10054,3509
contig_10056,4662
contig_10059,3801
contig_1006,3741
contig_10060,6307
contig_10061,6977
contig_10062,3407
contig_10063,7718
contig_10065,27959
contig_10066,13638
contig_1007,3242
contig_10073,3972
contig_10074,7922
contig_10075,8670
contig_10076,6347
contig_10077,574
contig_10078,2968
contig_10079,809
contig_1008,2784
contig_10080,17173
contig_10081,13141
contig_10082,4593
contig_10083,6966
contig_10084,5043
contig_10085,3475
contig_10086,40265
contig_10087,12941
contig_10088,2323
contig_10089,7118
contig_10090,3412
contig_10091,2048
contig_10092,4223
contig_10093,23962
contig_10094,7620
contig_10095,160267
contig_10096,9137
contig_10097,5938
contig_10098,14369
contig_10099,8260
contig_101,5780
contig_1010,687
contig_10100,6472
contig_10101,5635
contig_10102,2534
contig_10103,16798
contig_10104,18593
contig_10105,10773
contig_10107,14818
contig_10108,2826
contig_10109,14119
contig_1011,555
contig_10110,2557
contig_10111,36458
contig_10112,8285
contig_10113,2275
contig_10114,14902
contig_10115,5232
contig_10116,38986
contig_10117,10198
contig_10118,3429
contig_10119,45117
contig_1012,577
contig_10120,11166
contig_10121,12855
contig_10122,3941
contig_10123,3907
contig_10124,43816
contig_10125,28584
contig_10126,11320
contig_10127,16316
contig_10128,2776
contig_10129,2229
contig_1013,1676
contig_10130,36060
contig_10131,17599
contig_10132,3536
contig_10135,11484
contig_10136,5174
contig_10137,17142
contig_10138,3985
contig_10139,2755
contig_10140,6328
contig_10141,3639
contig_10142,2183
contig_10143,1434
contig_10144,741
contig_10145,4911
contig_10146,17547
contig_10147,8354
contig_10148,26858
contig_10149,1692
contig_10150,4372
contig_10151,4970
contig_10152,1093
contig_10153,5854
contig_10154,7910
contig_10155,3518
contig_10156,13809
contig_10157,3421
contig_10158,11054
contig_10159,9419
contig_10160,3753
contig_10161,6881
contig_10162,24870
contig_10164,8248
contig_10165,6119
contig_10166,2281
contig_10167,1984
contig_10168,4424
contig_10169,66878
contig_1017,1739
contig_10170,6337
contig_10171,10150
contig_10172,3290
contig_10173,5467
contig_10174,9276
contig_10175,11070
contig_10176,1084
contig_10177,2086
contig_10178,1892
contig_10179,4260
contig_1018,802
contig_10180,2949
contig_10181,2419
contig_10182,7541
contig_10183,670
contig_10184,1864
contig_10185,1229
contig_10186,3865
contig_10187,4389
contig_10188,31541
contig_10189,6353
contig_1019,700
contig_10190,10218
contig_10191,2196
contig_10192,3037
contig_10193,4637
contig_10194,27921
contig_10195,2379
contig_10196,1039
contig_10197,610
contig_10199,18723
contig_10200,65905
contig_10201,10320
contig_10202,4907
contig_10203,6398
contig_10204,4457
contig_10205,25965
contig_10206,11790
contig_10207,8250
contig_10208,5309
contig_10209,6023
contig_1021,541
contig_10210,5905
contig_10213,33704
contig_10214,6412
contig_10215,24821
contig_10216,6538
contig_10217,2834
contig_10218,6377
contig_10219,9795
contig_1022,646
contig_10220,5831
contig_10221,57415
contig_10222,6350
contig_10223,6496
contig_10224,5946
contig_10225,4282
contig_10226,2774
contig_10227,715
contig_10228,12608
contig_10229,4421
contig_1023,1980
contig_10230,5211
contig_10231,4109
contig_10232,7227
contig_10233,5901
contig_10234,5341
contig_10235,4776
contig_10236,3226
contig_10237,13013
contig_10238,4511
contig_10239,2142
contig_1024,729
contig_10240,1607
contig_10241,1190
contig_10242,20818
contig_10243,11132
contig_10244,15572
contig_10245,3500
contig_10246,1410
contig_10247,1637
contig_10248,3943
contig_10249,14114
contig_10250,58845
contig_10251,2864
contig_10252,7923
contig_10253,8372
contig_10254,4648
contig_10255,7655
contig_10256,2543
contig_10257,16033
contig_10258,3932
contig_10259,20468
contig_1026,2797
contig_10260,9053
contig_10261,7913
contig_10262,4752
contig_10263,5103
contig_10264,3328
contig_10265,9181
contig_10266,6468
contig_10267,2492
contig_10268,2864
contig_10269,2912
contig_1027,768
contig_10270,18913
contig_10271,15370
contig_10272,11529
contig_10273,19276
contig_10274,11652
contig_10275,4696
contig_10276,25179
contig_1028,622
contig_10280,5380
contig_10281,8354
contig_10282,6717
contig_10283,5446
contig_10284,5520
contig_10285,5562
contig_10286,8145
contig_10287,2465
contig_10288,4059
contig_10289,117466
contig_1029,1274
contig_10290,126693
contig_10291,2560
contig_10292,4400
contig_10293,608
contig_10294,2443
contig_10295,6777
contig_10296,8374
contig_10297,3928
contig_10298,4088
contig_10299,957
contig_10300,747
contig_10301,4596
contig_10302,25546
contig_10303,11076
contig_10304,3031
contig_10305,3961
contig_10306,23117
contig_10307,90267
contig_10308,2226
contig_10309,2460
contig_10310,14562
contig_10311,6000
contig_10312,4762
contig_10313,5841
contig_10314,5453
contig_10315,6814
contig_10316,16275
contig_10317,4290
contig_10318,3142
contig_10319,8521
contig_10320,2289
contig_10321,4220
contig_10322,73644
contig_10323,12900
contig_10324,10062
contig_10325,2439
contig_10327,24066
contig_10328,10033
contig_10329,13002
contig_1033,1701
contig_10331,3779
contig_10332,3626
contig_10333,28694
contig_10334,17442
contig_10335,5840
contig_10336,17085
contig_10337,7883
contig_10338,1379
contig_10339,3537
contig_1034,9874
contig_10340,6593
contig_10341,13552
contig_10342,738
contig_10343,1076
contig_10344,13804
contig_10345,44999
contig_10346,5603
contig_10347,4181
contig_10348,53619
contig_10349,15116
contig_1035,1527
contig_10350,4066
contig_10351,26595
contig_10352,14124
contig_10353,11003
contig_10354,18728
contig_10355,6480
contig_10357,7362
contig_10358,4166
contig_10359,6963
contig_10360,5184
contig_10361,13576
contig_10362,20751
contig_10363,6143
contig_10364,7313
contig_10365,4525
contig_10367,3981
contig_10369,7226
