--------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id    Marker lineage   # genomes   # markers   # marker sets   0     1    2    3    4   5+   Completeness   Contamination   Strain heterogeneity  
--------------------------------------------------------------------------------------------------------------------------------------------------------
  bin_41       Bacteria         5449        104            58        0    104   0    0    0   0       100.00           0.00               0.00          
  bin_16       Bacteria         5449        104            58        1    102   0    1    0   0       99.84            3.45              33.33          
  bin_38       Bacteria         5449        104            58        1     61   21   8    7   6       98.28           71.19               3.16          
  bin_57       Bacteria         5449        104            58        2     41   14   12   7   28      98.12           290.18              4.06          
  bin_47       Bacteria         5449        104            58        2    102   0    0    0   0       96.55            0.00               0.00          
  bin_29       Bacteria         5449        104            58        2     99   3    0    0   0       96.55            3.45              66.67          
  bin_55       Bacteria         5449        104            58        7     96   1    0    0   0       95.92            1.72               0.00          
  bin_4        Bacteria         5449        104            58        3     92   9    0    0   0       95.69           12.93              88.89          
  bin_81       Bacteria         5449        104            58        4     36   61   3    0   0       94.83           72.02               0.00          
  bin_63       Bacteria         5449        104            58        4     99   1    0    0   0       94.83            0.86              100.00         
  bin_46       Bacteria         5449        104            58        3     95   6    0    0   0       94.83            5.49              33.33          
  bin_74       Bacteria         5449        104            58        10    64   21   6    2   1       92.65           61.36               1.64          
  bin_48       Bacteria         5449        104            58        20    77   7    0    0   0       91.79            9.48              14.29          
  bin_89       Bacteria         5449        104            58        7     97   0    0    0   0       91.38            0.00               0.00          
  bin_24       Bacteria         5449        104            58        7     76   21   0    0   0       91.22           18.65              57.14          
  bin_6        Bacteria         5449        104            58        11    92   1    0    0   0       90.60            1.72               0.00          
  bin_37       Bacteria         5449        104            58        7     95   2    0    0   0       90.36            3.45               0.00          
  bin_9        Bacteria         5449        104            58        9     79   12   3    1   0       87.77           28.34               0.00          
  bin_32       Bacteria         5449        104            58        11    93   0    0    0   0       87.62            0.00               0.00          
  bin_59       Bacteria         5449        104            58        9     95   0    0    0   0       87.07            0.00               0.00          
  bin_45       Bacteria         5449        104            58        29    75   0    0    0   0       86.52            0.00               0.00          
  bin_50       Bacteria         5449        104            58        10    93   1    0    0   0       86.21            1.72               0.00          
  bin_53       Bacteria         5449        104            58        37    63   4    0    0   0       83.86            6.03              50.00          
  bin_82       Bacteria         5449        104            58        16    62   20   4    1   1       82.84           52.07               0.00          
  bin_61       Bacteria         5449        104            58        13    88   3    0    0   0       82.60            5.17              33.33          
  bin_33       Bacteria         5449        104            58        41    61   1    1    0   0       82.41            5.17              50.00          
  bin_80       Bacteria         5449        104            58        14    89   1    0    0   0       82.29            1.72               0.00          
  bin_67       Bacteria         5449        104            58        25    73   5    1    0   0       82.01            9.64              12.50          
  bin_66       Bacteria         5449        104            58        24    73   6    1    0   0       81.50           10.92              11.11          
  bin_42       Bacteria         5449        104            58        16    83   5    0    0   0       81.27            4.31              100.00         
  bin_31       Bacteria         5449        104            58        39    60   5    0    0   0       77.43            6.90              40.00          
  bin_1        Bacteria         5449        104            58        30    73   1    0    0   0       77.39            1.72               0.00          
  bin_79       Bacteria         5449        104            58        25    63   14   2    0   0       77.24           13.09               0.00          
